Name,Code,Category,Price,52 Weeks low,52 Weeks hi,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,Mcap,Book value
CRESBLD [s],8591,"Construction, Main Market",0.75,0.555,1.14,1983,4.98,3.5,3.03,15.05,4.67,1.64,0.25,132.69,1.31147541
HEKTAR,5121,"Real Estate Investment Trusts, Main Market",0.655,0.55,1.04,1400,2.08,7.77,1.314,31.51,11.86,1.58,0.5,302.58,1.262295082
KESM [s],9334,"Technology, Main Market",7.66,5,12,97,13.17,9,8.39,58.14,1.17,1.57,0.91,329.49,0.06557377
SENDAI [s],5205,"Construction, Main Market",0.29,0.14,0.49,106213,1.75,0,1.18,16.53,0,1.49,0.25,226.52,1.967213115
L&G [s],3174,"Property, Main Market",0.09,0.05,0.16,7970,0.52,1,0.364,17.44,11.11,1.42,0.25,267.58,4.435483871
HSSEB [s],185,"Industrial Products & Services, Main Market",0.495,0.25,1.19,15331,0.61,,0.44,80.93,,1.39,1.12,245.45,5.677419355
Y&G [s],7003,"Property, Main Market",0.64,0.64,0.995,0,1.84,0,1.34,34.72,0,1.38,0.48,139.83,1.048387097
PICORP [s],7201,"Industrial Products & Services, Main Market",0.11,0.06,0.14,5427,0.16,0.55,0.12,66.83,5,1.37,0.92,72.38,0.911290323
AFUJIYA [s],5198,"Industrial Products & Services, Main Market",0.415,0.255,0.71,576,1.2,,0.89,34.66,,1.35,0.47,74.7,0.516129032
EMICO [s],9091,"Consumer Products & Services, Main Market",0.14,0.08,0.25,3220,0.57,,0.43,24.38,,1.34,0.33,14.77,20.79365079
SOLID [s],5242,"Consumer Products & Services, Main Market",0.215,0.19,0.375,3599,0.5,0,0.38,43.43,0,1.3,0.57,87.21,3.174603175
LATITUD [s],7006,"Consumer Products & Services, Main Market",2,1.7,3.75,355,7.94,6,6.1,25.18,3,1.3,0.33,194.42,1.531746032
KENANGA,6483,"Financial Services, Main Market",0.555,0.355,0.62,4030,1.61,3.25,1.25,34.42,5.86,1.29,0.44,401.12,0.928571429
HSPLANT [s],5138,"Plantation, Main Market",1.52,1.25,2.14,140,2.62,2.5,2.04,58,1.64,1.28,0.75,1216,3.285714286
BRIGHT,9938,"Industrial Products & Services, Main Market",0.19,0.095,0.56,3957,0.71,,0.57,26.7,,1.25,0.33,39.01,1.222222222
ATLAN,7048,"Consumer Products & Services, Main Market",3.77,3.65,4.32,40,2.37,20,1.97,159.19,5.31,1.2,1.91,956.26,1.246031746
UMCCA [s],2593,"Plantation, Main Market",4.31,4,5.45,0,7.52,8,6.28,57.32,1.86,1.2,0.69,904.11,3.174603175
RVIEW [s],2542,"Plantation, Main Market",2.79,2.25,2.98,0,4.66,3,4.1,59.87,1.08,1.14,0.68,180.93,0.436507937
DKLS [s],7528,"Construction, Main Market",1.48,1.38,1.9,80,4.64,3,4.34,31.91,2.03,1.07,0.34,137.19,0.8671875
MHC [s],5026,"Plantation, Main Market",0.465,0.27,0.77,0,1.28,0,1.26,36.34,0,1.02,0.37,91.39,0.5234375
THRIVEN [s],7889,"Property, Main Market",0.215,0.14,0.48,22907,0.37,,0.37,57.76,,1.01,0.58,117.59,1
GUH [s],3247,"Industrial Products & Services, Main Market",0.35,0.16,0.52,6,1.81,,1.83,19.38,,0.99,0.19,97.27,1.078125
IVORY [s],5175,"Property, Main Market",0.135,0.115,0.22,5045,0.8,0,0.83,16.92,0,0.96,0.16,66.16,1.184615385
BJLAND,4219,"Consumer Products & Services, Main Market",0.165,0.105,0.24,3609,0.8,0,0.86,20.65,0,0.93,0.19,825.06,1.2
JERASIA,8931,"Consumer Products & Services, Main Market",0.235,0.13,0.4,2853,1.66,1,1.89,14.13,4.26,0.88,0.12,19.28,3.830769231
